domain,target,feature,n_queries,n_comparisons,effect,effect_lo,effect_hi,direction,matched_effect,matched_effect_lo,matched_effect_hi,matched_direction,matched_n_comparisons,shap_share,shap_direction
en/vpn,y_top,snippet_digit_share,10,7626,-0.05350118017309206,-0.29499815744228586,0.2112399775768702,flat,-0.45075757575757575,-0.729034610149718,0.12439458689458677,flat,264,0.05643326370533455,-0.27460154150869337
tr/cosmetics,y_top,in_search_results,3,1752,0.4583333333333333,0.3093607305936073,0.6410958904109589,n/a,0.4583333333333333,0.3093607305936073,0.6410958904109589,n/a,1752,0.0008607568545618681,-0.6114349815265594
tr/cosmetics,y_top,n_results_mentioning,3,180,0.7611111111111111,0.4927536231884058,0.9545454545454546,n/a,0.7611111111111111,0.4927536231884058,0.9545454545454546,n/a,180,0.13533892981106946,0.7658415596483209
tr/cosmetics,y_top,best_position,3,180,0.3,0.13636363636363635,0.43283582089552236,n/a,0.034482758620689655,0.034482758620689655,0.034482758620689655,n/a,29,0.025452208552695067,0.6097733782544441
tr/cosmetics,y_top,n_official,3,180,0.07222222222222222,0.0,0.13636363636363635,n/a,0.0,0.0,0.0,n/a,29,0.0,
tr/cosmetics,y_top,n_editorial,3,180,-0.2222222222222222,-0.31343283582089554,0.0,n/a,-0.13793103448275862,-0.13793103448275862,-0.13793103448275862,n/a,29,0.0052652589330838846,-0.6144991486846473
tr/cosmetics,y_top,n_affiliate,3,180,0.0,0.0,0.0,n/a,0.0,0.0,0.0,n/a,29,0.0,
tr/cosmetics,y_top,n_forum,3,180,0.2611111111111111,0.057971014492753624,0.44776119402985076,n/a,0.034482758620689655,0.034482758620689655,0.034482758620689655,n/a,29,0.0,
tr/cosmetics,y_top,n_retailer,3,180,0.5444444444444444,0.06818181818181818,0.835820895522388,n/a,0.3103448275862069,0.3103448275862069,0.3103448275862069,n/a,29,0.01605247825193731,0.8497871910327065
tr/cosmetics,y_top,n_unknown,3,180,0.19444444444444445,-0.08695652173913043,0.5454545454545454,n/a,-0.20689655172413793,-0.20689655172413793,-0.20689655172413793,n/a,29,0.0066350407576852245,-0.8021698428969843
tr/cosmetics,y_top,lex_authority,3,180,0.25,-0.045454545454545456,0.746268656716418,n/a,-0.06896551724137931,-0.06896551724137931,-0.06896551724137931,n/a,29,0.0,
tr/cosmetics,y_top,lex_social_proof,3,180,0.0,0.0,0.0,n/a,0.0,0.0,0.0,n/a,29,0.0,
tr/cosmetics,y_top,lex_specificity,3,180,0.05,0.0,0.13432835820895522,n/a,0.0,0.0,0.0,n/a,29,0.0,
tr/cosmetics,y_top,lex_hedging,3,180,0.0,0.0,0.0,n/a,0.0,0.0,0.0,n/a,29,0.0,
tr/cosmetics,y_top,lex_superlative,3,180,-0.027777777777777776,-0.29545454545454547,0.05970149253731343,n/a,0.0,0.0,0.0,n/a,29,0.03488940393801985,-0.8240229617845423
tr/cosmetics,y_top,snippet_words,3,180,-0.16111111111111112,-0.2463768115942029,-0.04477611940298507,n/a,0.034482758620689655,0.034482758620689655,0.034482758620689655,n/a,29,0.026099503822153917,0.26978195418039425
tr/cosmetics,y_top,snippet_has_year,3,180,-0.28888888888888886,-0.3283582089552239,-0.25,n/a,-0.1724137931034483,-0.1724137931034483,-0.1724137931034483,n/a,29,0.040085294447475765,-0.7866416067855665
tr/cosmetics,y_top,snippet_digit_share,3,180,0.011111111111111112,-0.3181818181818182,0.5072463768115942,n/a,0.5862068965517241,0.5862068965517241,0.5862068965517241,n/a,29,0.14441541386323908,0.7808121372717952
tr/vpn,y_top,in_search_results,5,1311,0.5835240274599542,0.5223877980364656,0.6648256219483841,up,0.5835240274599542,0.5223877980364656,0.6648256219483841,up,1311,0.0,
tr/vpn,y_top,n_results_mentioning,5,339,0.7610619469026548,0.6446991404011462,0.9062316715542521,up,0.7610619469026548,0.6446991404011462,0.9062316715542521,up,339,0.15480422189892554,0.9275931503163629
tr/vpn,y_top,best_position,5,339,0.4690265486725664,0.3420074349442379,0.5950617283950618,up,0.24444444444444444,0.0,0.3103448275862069,flat,45,0.08718687990357778,0.22426999397225014
tr/vpn,y_top,n_official,5,339,0.2713864306784661,0.14893073593073594,0.34025974025974026,up,0.044444444444444446,-0.16666666666666666,0.08928571428571429,flat,45,0.019407492749478387,0.5029063999165152
tr/vpn,y_top,n_editorial,5,339,0.5663716814159292,0.3438395415472779,0.8107748797163837,up,0.08888888888888889,-0.2727272727272727,0.35714285714285715,flat,45,0.01351597664427098,-0.3695545970923345
tr/vpn,y_top,n_affiliate,5,339,0.31563421828908556,0.07766990291262135,0.6478149100257069,up,-0.13333333333333333,-0.2328767123287671,0.26666666666666666,flat,45,0.012507003094229625,0.6171845489382547
tr/vpn,y_top,n_forum,5,339,0.26253687315634217,-0.02074688796680498,0.48767166042446936,flat,-0.06666666666666667,-0.3793103448275862,0.16279069767441862,flat,45,0.01987765924380173,0.7921964605907547
tr/vpn,y_top,n_retailer,5,339,0.0,0.0,0.0,flat,0.0,0.0,0.0,flat,45,0.0,
tr/vpn,y_top,n_unknown,5,339,0.32448377581120946,0.010845986984815618,0.6470588235294118,up,0.044444444444444446,-0.30952380952380953,0.42424242424242425,flat,45,0.02804649209490498,0.6171824756441132
tr/vpn,y_top,lex_authority,5,339,0.19174041297935104,0.045845272206303724,0.362250120820702,up,0.044444444444444446,0.0,0.22261904761904724,flat,45,0.0,
tr/vpn,y_top,lex_social_proof,5,339,0.0,0.0,0.0,flat,0.0,0.0,0.0,flat,45,0.0,
tr/vpn,y_top,lex_specificity,5,339,0.18289085545722714,-0.028011204481792718,0.504950495049505,flat,0.044444444444444446,-0.03773584905660377,0.21790890269151092,flat,45,0.0072330997550470386,0.5875158735951407
tr/vpn,y_top,lex_hedging,5,339,-0.0029498525073746312,-0.007125890736342043,0.0,flat,-0.022222222222222223,-0.047619047619047616,0.0,flat,45,0.0,
tr/vpn,y_top,lex_superlative,5,339,-0.20943952802359883,-0.3333333333333333,-0.045936395759717315,down,0.1111111111111111,-0.06451612903225806,0.5333333333333333,flat,45,0.03673636019808512,0.522105788455678
tr/vpn,y_top,snippet_words,5,339,0.3480825958702065,0.06906906906906907,0.6261682242990654,up,0.4,0.31343283582089554,0.7147619047619044,up,45,0.16179723130986248,0.8366378835723987
tr/vpn,y_top,snippet_has_year,5,339,0.27728613569321536,0.12324929971988796,0.4485981308411215,up,0.2,0.07692307692307693,0.5454545454545454,up,45,0.004911478012234162,0.8188502016008455
tr/vpn,y_top,snippet_digit_share,5,339,0.1592920353982301,-0.05475504322766571,0.37809187279151946,flat,0.28888888888888886,-0.1,0.7272727272727273,flat,45,0.03952164749486945,0.2956240249814333
