target,model,domain,feature,pr_auc_drop
y_mention,invariant,hosting,share_affiliate,-0.0010254845728920141
y_mention,invariant,hosting,share_forum,0.0007918908654663825
y_mention,invariant,hosting,share_retailer,0.0
y_mention,invariant,hosting,share_unknown,-0.0002520106069409482
y_mention,invariant,hosting,lex_authority_pct,0.0008455389857450202
y_mention,invariant,hosting,lex_social_proof_pct,-0.00016346720607411194
y_mention,invariant,hosting,lex_specificity_pct,0.001293127033235808
y_mention,invariant,hosting,lex_hedging_pct,0.00025066042018858276
y_mention,invariant,hosting,lex_superlative_pct,7.138280474738856e-05
y_mention,invariant,hosting,snippet_words_pct,0.002229947538365251
y_mention,invariant,hosting,snippet_has_year_pct,0.0004502952483794361
y_mention,invariant,hosting,snippet_digit_share_pct,0.002149241554787351
y_mention,invariant,hosting,model_id,0.00806120692172041
y_mention,invariant,travel,in_search_results,0.0
y_mention,invariant,travel,volume_share,0.060545215622350455
y_mention,invariant,travel,volume_vs_leader,0.018834331649655867
y_mention,invariant,travel,volume_rank_pct,0.07163316330409834
y_mention,invariant,travel,is_top_retrieved,-5.8576222837336545e-05
y_mention,invariant,travel,position_rank_pct,0.005618839403957465
y_mention,invariant,travel,share_official,0.0021962821837675874
y_mention,invariant,travel,share_editorial,-0.0019616096665744007
y_mention,invariant,travel,share_affiliate,-0.0008395442330755287
y_mention,invariant,travel,share_forum,0.0005252396716529292
y_mention,invariant,travel,share_retailer,0.0
y_mention,invariant,travel,share_unknown,0.000468186299241576
y_mention,invariant,travel,lex_authority_pct,-0.0027774306063568974
y_mention,invariant,travel,lex_social_proof_pct,-0.0013352826136675544
y_mention,invariant,travel,lex_specificity_pct,-0.0008670353568123179
y_mention,invariant,travel,lex_hedging_pct,-0.0006912625194272307
y_mention,invariant,travel,lex_superlative_pct,-0.0034211744922885514
y_mention,invariant,travel,snippet_words_pct,0.0029298962394215256
y_mention,invariant,travel,snippet_has_year_pct,-0.0009216161327454767
y_mention,invariant,travel,snippet_digit_share_pct,-0.0055536945368675665
y_mention,invariant,travel,model_id,0.0030905462855108645
y_mention,invariant,vpn,in_search_results,0.0
y_mention,invariant,vpn,volume_share,0.07836482043186073
y_mention,invariant,vpn,volume_vs_leader,0.10810937449687397
y_mention,invariant,vpn,volume_rank_pct,0.03543252966523166
y_mention,invariant,vpn,is_top_retrieved,0.0005759205341011228
y_mention,invariant,vpn,position_rank_pct,0.007569418061665593
y_mention,invariant,vpn,share_official,0.0018358612898304871
y_mention,invariant,vpn,share_editorial,-0.005088751924080241
y_mention,invariant,vpn,share_affiliate,-0.0022216718363753016
y_mention,invariant,vpn,share_forum,0.00291868947211793
y_mention,invariant,vpn,share_retailer,-2.0739290732911067e-07
y_mention,invariant,vpn,share_unknown,0.00019301654537714116
y_mention,invariant,vpn,lex_authority_pct,-0.0008554798030105578
y_mention,invariant,vpn,lex_social_proof_pct,0.0028599829026217938
y_mention,invariant,vpn,lex_specificity_pct,-0.001644607124933491
y_mention,invariant,vpn,lex_hedging_pct,0.001176431655846762
y_mention,invariant,vpn,lex_superlative_pct,0.00565383586494043
y_mention,invariant,vpn,snippet_words_pct,0.0020356635561568823
y_mention,invariant,vpn,snippet_has_year_pct,0.0003787724912578394
y_mention,invariant,vpn,snippet_digit_share_pct,0.00104390127509472
y_mention,invariant,vpn,model_id,0.004570552374757897
