track,domain,target,model,n_pairs,n_responses,positive_rate,pr_auc,roc_auc,top1,ndcg@3,brier,pr_auc_lo,pr_auc_hi,top1_lo,top1_hi,ndcg@3_lo,ndcg@3_hi,independent_query_groups
tr,vpn,y_top,general_seen,1368,57,0.041666666666666664,0.24642515500577047,0.7980248103095267,0.24561403508771928,0.45968573327068335,0.036975485273188634,0.15891567329502226,0.48836549193561135,0.07692307692307693,0.43137254901960786,0.29210682153518647,0.6487842868336179,5
tr,vpn,y_top,general_en_transfer,1368,57,0.041666666666666664,0.29692039118414965,0.8362974560734407,0.22807017543859648,0.4822397424185561,0.037594104575317644,0.2517352337073094,0.38939441022841303,0.1222723704866562,0.31666666666666665,0.40810304799108055,0.578115100520846,5
tr,vpn,y_top,invariant_en_transfer,1368,57,0.041666666666666664,0.48485784581001506,0.9349900303772398,0.42105263157894735,0.6152834568922367,0.02813988456948713,0.32424634054418094,0.663752564333732,0.21135204081632655,0.5892857142857143,0.5233919924876937,0.7104567593112276,5
tr,vpn,y_top,M2_full,1368,57,0.041666666666666664,0.23860138183132482,0.9108488230492325,0.22807017543859648,0.4924764393483771,0.03810860367298562,0.17547126781452696,0.41401996528768564,0.09375,0.40009615384615377,0.3901072792582451,0.6397183562030152,5
en,editors,y_mention,naive_position,36000,1200,0.25758333333333333,0.6112699165737505,0.7783969063587938,,0.7448189346151475,0.161777663438022,0.5545671051570914,0.6730514371030998,1.0,1.0,0.6542910751406339,0.8270760281433638,10
en,editors,y_mention,general_seen,36000,1200,0.25758333333333333,0.6910786582670764,0.7807094092772656,,0.8759910178661062,0.12925480068351716,0.6296958525692617,0.7627869421229064,1.0,1.0,0.7983076849636976,0.9349519511529869,10
en,editors,y_mention,general_unseen,36000,1200,0.25758333333333333,0.6841834616248734,0.79567508841237,,0.8468878708434131,0.13319166228996968,0.6293422248620303,0.7491286665446771,1.0,1.0,0.755471879012399,0.9141417776381262,10
en,editors,y_mention,invariant_seen,36000,1200,0.25758333333333333,0.7264915838715196,0.8343016960361411,,0.8727525663998738,0.12300775616569813,0.6733218717427021,0.7822311449442279,1.0,1.0,0.78752878628277,0.9341318002309601,10
en,editors,y_mention,invariant_unseen,36000,1200,0.25758333333333333,0.7202364236748969,0.8371155819647468,,0.8576839834541888,0.12773142088288153,0.6632167897820547,0.7772229083271603,1.0,1.0,0.7697256400912822,0.9245016995225456,10
en,editors,y_mention,M2_full,36000,1200,0.25758333333333333,0.7613973637221604,0.8688584031072274,,0.9095614260832453,0.11321093560551689,0.7035443072210145,0.8171636649309455,1.0,1.0,0.867503664120782,0.9494596088153017,10
en,hosting,y_mention,naive_position,43128,1198,0.20742904841402338,0.6473198718396344,0.8364836428840958,,0.7862619023908728,0.11625965493741451,0.5737982335683576,0.7054869491154698,0.0,0.2857142857142857,0.7324749519519981,0.8341897575437476,10
en,hosting,y_mention,general_seen,43128,1198,0.20742904841402338,0.7191267870099144,0.8622457052301522,,0.8976149164545688,0.09603770017504029,0.6767227739774758,0.759036551527976,0.0,0.0,0.8532306241861585,0.9389787661532867,10
en,hosting,y_mention,general_unseen,43128,1198,0.20742904841402338,0.7069204450600391,0.8461690477805952,,0.9021695669743038,0.0987126258220849,0.6596094204844736,0.751936403444437,0.0,0.0,0.8556220629387826,0.943270145167158,10
en,hosting,y_mention,invariant_seen,43128,1198,0.20742904841402338,0.732926011222245,0.8632819678588763,,0.8943086510885447,0.09509631201988475,0.6776413663996339,0.7820953797702112,0.0,0.0,0.8496887178313555,0.9363369049001842,10
en,hosting,y_mention,invariant_unseen,43128,1198,0.20742904841402338,0.7311506109703277,0.8593769136771755,,0.9014588348025642,0.09631540655582883,0.6762595714503382,0.7802126798887297,0.0,0.0,0.854364810057261,0.9420134922039894,10
en,hosting,y_mention,M2_full,43128,1198,0.20742904841402338,0.7284630120040083,0.8928508444617738,,0.8889724993116677,0.0964991338245093,0.6668023850346163,0.7738700540335338,0.0,0.0,0.8442899045324063,0.9287127714556058,10
en,travel,y_mention,naive_position,32373,1199,0.23454730794180337,0.6577710461495527,0.8269632026949761,,0.7343228088089859,0.14207216286403848,0.5841919754630375,0.7245302618034438,0.0,0.0,0.6361721427197986,0.8174880876952023,10
en,travel,y_mention,general_seen,32373,1199,0.23454730794180337,0.6933169363346174,0.8252308767037988,,0.7767791463219261,0.11200494611425657,0.6175769550545607,0.75199201399085,0.0,0.0,0.672170538598584,0.8641826547575061,10
en,travel,y_mention,general_unseen,32373,1199,0.23454730794180337,0.6893472304755933,0.8369044935083682,,0.747877920598217,0.1172481597034404,0.5988780518718538,0.7563725977789686,0.0,0.0,0.6383921915973382,0.8503667205559229,10
en,travel,y_mention,invariant_seen,32373,1199,0.23454730794180337,0.7152791247593264,0.859241084483,,0.767883290688246,0.10968161629337368,0.6530967647421203,0.7630721717447222,1.0,1.0,0.6631383161473717,0.8566694760147772,10
en,travel,y_mention,invariant_unseen,32373,1199,0.23454730794180337,0.705830340151071,0.8590879390951716,,0.7485603784984756,0.11292297964078032,0.6402476702821862,0.7617553912212847,0.0,0.0,0.6406984411916026,0.8455186624817165,10
en,travel,y_mention,M2_full,32373,1199,0.23454730794180337,0.7786635331328079,0.9004198782553958,,0.9134638374554844,0.0955047403105565,0.6955899020853995,0.8355330332358751,1.0,1.0,0.810047526082362,0.9732877014269506,10
en,vpn,y_mention,naive_position,28512,1188,0.18399270482603816,0.6817206637873579,0.9290196058060994,,0.7843585775493314,0.08860273544568813,0.6239932801998674,0.7451900094439237,0.0,0.0,0.7309361538480926,0.830036558976077,10
en,vpn,y_mention,general_seen,28512,1188,0.18399270482603816,0.8960590392763151,0.963198496107885,,0.956950037727162,0.0527781269086424,0.8467569395884711,0.9311629937059531,0.0,0.0,0.9205674109854617,0.981463912916609,10
en,vpn,y_mention,general_unseen,28512,1188,0.18399270482603816,0.8653620402185479,0.9547511304802595,,0.9383780431599241,0.06945952221171525,0.8105437821500618,0.9033129720717693,0.0,0.0,0.876707441008783,0.9746585767307078,10
en,vpn,y_mention,invariant_seen,28512,1188,0.18399270482603816,0.9122504043463118,0.9698513608416564,,0.9628632379767861,0.04650242142788647,0.8544365559511169,0.9484404834787117,0.0,0.0,0.9324184435633539,0.9836344830338026,10
en,vpn,y_mention,invariant_unseen,28512,1188,0.18399270482603816,0.8948099217334424,0.9655205282381399,,0.9574654855611954,0.05711230572811685,0.8397392135108314,0.9318445050587351,0.0,0.0,0.9196911150196354,0.9797871451915181,10
en,vpn,y_mention,M2_full,28512,1188,0.18399270482603816,0.9256084633025954,0.976647138389451,,0.9742213419465456,0.03737679671873899,0.88555298962067,0.9582377861188058,0.0,0.0,0.9596392905413514,0.9884998668335497,10
tr,cosmetics,y_mention,naive_position,5550,75,0.12774774774774775,0.40872026212222917,0.7559401666943937,,0.4994266835235094,0.1021273334390599,0.30896725407046144,0.524210802365483,0.0,0.0,0.3825643096654975,0.6256990216431859,5
tr,cosmetics,y_mention,general_seen,5550,75,0.12774774774774775,0.43885806806343164,0.707999576956235,,0.5881994171513083,0.08860644687478197,0.342110351905744,0.5791683172505098,0.0,0.0,0.4108900959867168,0.7398585816803588,5
tr,cosmetics,y_mention,general_en_transfer,5550,75,0.12774774774774775,0.45320541992190866,0.7571958957762343,,0.5210846697307033,0.08988949219484184,0.34080865897640467,0.5684490113270908,0.0,0.0,0.4099079863916731,0.6435025256606154,5
tr,cosmetics,y_mention,invariant_en_transfer,5550,75,0.12774774774774775,0.4845327808677511,0.8088847348503279,,0.5413642526735708,0.08406872828440382,0.365706344407281,0.6026982620081108,0.0,0.0,0.3620270153385089,0.6890796411224291,5
tr,cosmetics,y_mention,M2_full,5550,75,0.12774774774774775,0.5097685395803697,0.8338548056693691,,0.6923453830053986,0.08564334065310057,0.4081804806226936,0.6295720563408616,0.0,0.0,0.5386296215260963,0.8450704225352113,5
tr,vpn,y_mention,naive_position,1800,75,0.18555555555555556,0.5994780116824352,0.8371490307243631,,0.6317134377300544,0.11119651371343234,0.5278274307823483,0.6971791406234964,0.0,0.0,0.5737615226618707,0.7200371446843481,5
tr,vpn,y_mention,general_seen,1800,75,0.18555555555555556,0.72433213860433,0.830011191804658,,0.7422165968431931,0.08295539339583428,0.6754937181448032,0.8163894586652263,0.0,0.0,0.6505957621941522,0.8582688380303147,5
tr,vpn,y_mention,general_en_transfer,1800,75,0.18555555555555556,0.7452634222963026,0.8567816617787618,,0.7534917948143989,0.08609959817788627,0.684308499343296,0.8261857612938512,0.0,0.0,0.6658617467667204,0.8580118757432802,5
tr,vpn,y_mention,invariant_en_transfer,1800,75,0.18555555555555556,0.7937851024420066,0.9121116566321654,,0.7526725608416723,0.07487378167175991,0.7418918481461837,0.8519460298012136,0.0,0.0,0.6665840230727459,0.8586286766698359,5
tr,vpn,y_mention,M2_full,1800,75,0.18555555555555556,0.8087032945226741,0.9456400977036378,,0.8343110287871253,0.06339672578819365,0.7371969053068808,0.8997236394727876,0.0,0.0,0.710931348441676,0.9576907091325747,5
