track,category,target,model,n_pairs,n_responses,positive_rate,pr_auc,roc_auc,top1,ndcg@3,brier,pr_auc_lo,pr_auc_hi,top1_lo,top1_hi
en,travel,y_top,M0,38907,1441,0.037037037037037035,0.548436023251792,0.8772432043220459,0.7814018043025677,0.8054837521141075,0.041851292913858675,0.22654753433348013,0.9681624445613384,0.485830794575706,0.9806513382608681
en,travel,y_top,M1,38907,1441,0.037037037037037035,0.6534918509708628,0.8929080941784164,0.7814018043025677,0.8274173124120165,0.03346530401238525,0.3479140082861567,0.9655276875318931,0.485830794575706,0.9806513382608681
en,travel,y_top,M2,38907,1441,0.037037037037037035,0.5404039605724381,0.8905758940615991,0.7772380291464261,0.8165199930876393,0.03306787040775323,0.22092769199008408,0.9844808828378838,0.48574997561018873,0.978095711543207
en,vpn,y_top,naive_position,31464,1656,0.05263157894736842,0.13297364415162302,0.6995049212706896,0.1793478260869565,0.2904560677838201,0.14641924862462244,0.12099218563973109,0.14665779789273434,0.11337146469350633,0.24181125378576313
en,vpn,y_top,naive_frequency,31464,1656,0.05263157894736842,0.5354417099224376,0.9693852856348262,0.6413043478260869,0.8491713083592214,0.03146367624671497,0.3848761777949075,0.7991357013139595,0.4278491077312664,0.8257563345363946
en,vpn,y_top,M0,31464,1656,0.05263157894736842,0.579875820606078,0.971972495954787,0.6413043478260869,0.8491713083592214,0.08801268308016338,0.42039808304697646,0.8029592374244982,0.4278491077312664,0.8257563345363946
en,vpn,y_top,M1,31464,1656,0.05263157894736842,0.6640619291201691,0.9782627637329796,0.6413043478260869,0.85098290256212,0.08231146091842566,0.47396601240767505,0.8576638196888234,0.4278491077312664,0.8257563345363946
en,vpn,y_top,M2,31464,1656,0.05263157894736842,0.8008957052607766,0.9818241435201392,0.7240338164251208,0.8790505851621859,0.038403921200507986,0.7301801343632264,0.8598774092539295,0.6378241244683881,0.7948138310899507
en,ALL,y_mention,naive_position,268500,9586,0.2344581005586592,0.4098828966667756,0.6525842876516229,,0.4354167346570374,0.18787058302871462,,,,
en,ALL,y_mention,naive_frequency,268500,9586,0.2344581005586592,0.4670544142095006,0.6552409384925973,,0.6833721736142059,0.20364916167297228,,,,
en,ALL,y_mention,M0,268500,9586,0.2344581005586592,0.6163101212380541,0.8235030280819571,,0.7655374272881896,0.15617878695316093,,,,
en,ALL,y_mention,M1,268500,9586,0.2344581005586592,0.6936121758675424,0.8550440083063539,,0.831006948580935,0.14272222170991067,,,,
en,ALL,y_mention,M2,268500,9586,0.2344581005586592,0.7391172267972896,0.879953207728193,,0.8696013127269372,0.13214719267403982,,,,
en,editors,y_mention,naive_position,72000,2400,0.25980555555555557,0.3905898365808747,0.6262038382543734,,0.36103777181662555,0.21888227591087875,0.34853148172306686,0.4362160863834375,0.0,1.0
en,editors,y_mention,naive_frequency,72000,2400,0.25980555555555557,0.4881130388871646,0.6358481030834763,,0.7107367934720347,0.22527611208109413,0.4073416679466661,0.5602575028544113,1.0,1.0
en,editors,y_mention,M0,72000,2400,0.25980555555555557,0.6520375229510427,0.8092875992302208,,0.8021341766940101,0.16585669507096656,0.5653294951648109,0.7539400360591376,1.0,1.0
en,editors,y_mention,M1,72000,2400,0.25980555555555557,0.6939496298099525,0.833512694034549,,0.8643040546868412,0.15789764086282537,0.6283732258512722,0.7703896822690974,1.0,1.0
en,editors,y_mention,M2,72000,2400,0.25980555555555557,0.7336576906176611,0.8510135608364103,,0.8817588190729515,0.1503336131394163,0.6720766768431535,0.808856236421737,1.0,1.0
en,hosting,y_mention,naive_position,86328,2398,0.22295199703456584,0.39929113324702104,0.643621103730015,,0.5556224190837674,0.17929497124223714,0.3446160054009224,0.43723113370297517,0.0,0.8571428571428571
en,hosting,y_mention,naive_frequency,86328,2398,0.22295199703456584,0.3746443444943555,0.6618557234305805,,0.4539931798398408,0.20389275849792554,0.27897002791169084,0.48316331638492543,0.0,0.0
en,hosting,y_mention,M0,86328,2398,0.22295199703456584,0.4102016013149785,0.74735808953898,,0.4761071706822499,0.18240955119531294,0.2855047801423443,0.5492902550976143,0.0,0.14285714285714285
en,hosting,y_mention,M1,86328,2398,0.22295199703456584,0.5614912464546157,0.8105042717777831,,0.6417023175483327,0.1622228432651244,0.4372158001002533,0.6621381866533473,0.0,0.14285714285714285
en,hosting,y_mention,M2,86328,2398,0.22295199703456584,0.637717066357051,0.8466455204161708,,0.7462830573591219,0.15044768517244922,0.5196422371116158,0.7306867160362458,0.0,0.14285714285714285
en,travel,y_mention,naive_position,64800,2400,0.2280246913580247,0.44046229535675807,0.6673041086190918,,0.44603989944607,0.18070104431061404,0.38766434290995583,0.4938264353926762,0.0,0.0
en,travel,y_mention,naive_frequency,64800,2400,0.2280246913580247,0.42341523942257686,0.635917758934293,,0.6805492636827669,0.19829333495810755,0.36487123104643804,0.49395594916930885,0.0,1.0
