category,condition,model_id,target,n_brands,n_events,n_never_named,independent_query_groups,n_eff,n_eff_lo,n_eff_hi,top3_share,top3_share_lo,top3_share_hi,hhi_normalised,hhi_normalised_lo,hhi_normalised_hi,track
travel,search_on,gpt-5.4,y_top,27,167,23,10,1.4397294925403954,1.0,2.345035989381596,0.9940119760479043,0.9855072463768116,1.0,0.682827803628119,0.4043724465246115,1.0,en
travel,search_on,grok-4.20-0309-reasoning,y_top,27,239,20,10,2.2555182625863774,1.2178934252145825,3.875123346046436,0.8577405857740585,0.7777777777777778,1.0,0.42194774116484157,0.22952077176865812,0.814209015156255,en
travel,search_on,zai-org/GLM-5,y_top,27,168,20,9,1.780918727915194,1.0,3.7700628302606787,0.8928571428571429,0.7597765363128491,1.0,0.5446428571428572,0.236988188862481,1.0,en
travel,search_on,ALL,y_top,27,769,17,10,1.7096942064894023,1.0639943484791232,3.084866831474519,0.8972691807542262,0.8415874609301135,1.0,0.5689345295136006,0.29816949651569186,0.9375413337771906,en
vpn,search_off,claude-opus-4-6,y_top,24,53,22,3,1.0384473197781887,1.0,1.0867924528301884,1.0,1.0,1.0,0.9613664154039036,0.9166666666666669,1.0,en
vpn,search_off,gpt-5.4,y_top,24,191,22,8,1.1334783284138572,1.0,1.3644019023986285,1.0,1.0,1.0,0.8771200732245376,0.7213097860360164,1.0,en
vpn,search_off,grok-4.20-0309-reasoning,y_top,24,252,21,10,1.0160314869924163,1.0,1.055410064955793,1.0,0.9999999999999999,1.0,0.9835354431627723,0.9452163679045371,1.0,en
vpn,search_off,zai-org/GLM-5,y_top,24,185,21,8,2.1621706993492955,1.2338060249940537,2.6142684971704044,1.0,0.9999999999999999,1.0,0.4391285292342872,0.35566906808820337,0.8022610551378628,en
vpn,search_off,ALL,y_top,24,681,19,10,1.3189229312242445,1.0822889355163996,1.702328355468473,0.9970631424375916,0.9898776173713333,1.0,0.7476811284823149,0.569492947020815,0.9206619346920827,en
vpn,search_on,claude-opus-4-6,y_top,24,279,20,10,2.0980836096062103,1.2742099898063202,2.5325685556035964,0.9784946236559139,0.9609219990079365,1.0,0.45387001261769383,0.3685454379425734,0.7754434782608696,en
vpn,search_on,gpt-5.4,y_top,24,228,21,8,2.6787591466556733,1.5114547500227418,2.9749344426023727,0.9999999999999999,0.9999999999999999,1.0,0.3460596571520334,0.3072784636910821,0.6469018682717486,en
vpn,search_on,grok-4.20-0309-reasoning,y_top,24,252,19,10,1.9360975609756093,1.1084664827851043,2.694015767592456,0.9603174603174603,0.9220147649082568,0.9999999999999999,0.4954812843011602,0.3438536577036084,0.8978942867767112,en
vpn,search_on,zai-org/GLM-5,y_top,24,216,21,10,2.251085592975007,1.4629844235169474,2.4215492892340005,1.0,0.9999999999999999,1.0,0.42006620146716767,0.38743523168471616,0.6697748984629966,en
vpn,search_on,ALL,y_top,24,975,19,10,2.4488715548354025,1.653011955791925,2.6350332734005297,0.9753846153846153,0.9550045645718918,0.994519616062294,0.38262749335391466,0.3525236688786156,0.5877805777238444,en
cosmetics,search_off,MiniMax-M2.7,y_mention,74,161,32,5,23.373309287646528,14.222222222222221,25.61831501831502,0.2360248447204969,0.21000000000000002,0.3541666666666667,0.029671293122992784,0.025870663527030005,0.05757705479452054,tr
cosmetics,search_off,abliterated-model-large-v2,y_mention,74,178,36,5,21.55374149659864,9.950385887541346,24.748538011695903,0.2584269662921348,0.2071197411003236,0.4421052631578947,0.033332583923781585,0.027261309785845615,0.08817667817705763,tr
cosmetics,search_off,gemini-3.5-flash-lite,y_mention,74,250,27,5,29.096834264432033,16.24281065160606,29.096834264432033,0.192,0.17320261437908496,0.31137724550898205,0.021140164383561637,0.021140164383561637,0.04871043516151229,tr
cosmetics,search_off,ALL,y_mention,74,589,13,5,28.9317821699608,16.643564356435643,31.267627785058984,0.22241086587436332,0.19197396963123642,0.3253012048192771,0.021338915223405842,0.018721438219506514,0.04720771230431983,tr
cosmetics,search_on,MiniMax-M2.7,y_mention,74,237,26,5,32.982384028185564,19.300990099009905,33.476431829700964,0.1729957805907173,0.15081967213114755,0.281767955801105,0.017035916803911477,0.01658233395422286,0.03882192061905945,tr
cosmetics,search_on,abliterated-model-large-v2,y_mention,74,241,25,5,29.739375320020486,14.53922542204568,30.060120240480963,0.1991701244813278,0.16620498614958448,0.36363636363636365,0.02038744662921149,0.020023744292237442,0.05602300913273197,tr
cosmetics,search_on,gemini-3.5-flash-lite,y_mention,74,231,24,5,26.11894273127753,14.321156773211568,26.454075032341525,0.2337662337662338,0.20059880239520958,0.3273085016835015,0.025112229880064785,0.024620556184882274,0.057084662455212654,tr
cosmetics,search_on,ALL,y_mention,74,709,6,5,35.88271825255193,19.862831858407077,36.84767017909371,0.16643159379407618,0.1494360902255639,0.2756183745583039,0.014551699812999952,0.013811891565200698,0.03733631983203997,tr
